Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","196","Seychelles","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1528.270954","X","Sources internationales s?res",""
"MK","Indicateurs macro","197","Sierra Leone","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3739.577962","X","Sources internationales s?res",""
"MK","Indicateurs macro","200","Singapour","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","343331.535022","X","Sources internationales s?res",""
"MK","Indicateurs macro","280","Sint Maarten (partie n?erlandaise)","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1014","X","Sources internationales s?res",""
"MK","Indicateurs macro","199","Slovaquie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","95393.515078","X","Sources internationales s?res",""
"MK","Indicateurs macro","198","Slov?nie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","48589.100043","X","Sources internationales s?res",""
"MK","Indicateurs macro","201","Somalie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1620.100288","X","Sources internationales s?res",""
"MK","Indicateurs macro","276","Soudan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","122072.659961","X","Sources internationales s?res",""
"MK","Indicateurs macro","277","Soudan du Sud","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3571.364985","X","Sources internationales s?res",""
"MK","Indicateurs macro","38","Sri Lanka","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","87428.117558","X","Sources internationales s?res",""
"MK","Indicateurs macro","210","Su?de","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","541018.749769","X","Sources internationales s?res",""
"MK","Indicateurs macro","211","Suisse","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","704478.516964","X","Sources internationales s?res",""
"MK","Indicateurs macro","207","Suriname","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","3392.950425","X","Sources internationales s?res",""
"MK","Indicateurs macro","208","Tadjikistan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","7536.403147","X","Sources internationales s?res",""
"MK","Indicateurs macro","39","Tchad","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","10394.020227","X","Sources internationales s?res",""
"MK","Indicateurs macro","167","Tch?quie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","218628.940952","X","Sources internationales s?res",""
"MK","Indicateurs macro","216","Tha?lande","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","456356.812775","X","Sources internationales s?res",""
"MK","Indicateurs macro","176","Timor-Leste","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","1615.609697","X","Sources internationales s?res",""
"MK","Indicateurs macro","217","Togo","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","6387.424244","X","Sources internationales s?res",""
"MK","Indicateurs macro","219","Tonga","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","461.324081","X","Sources internationales s?res",""
"MK","Indicateurs macro","220","Trinit?-et-Tobago","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","23180.107752","X","Sources internationales s?res",""
"MK","Indicateurs macro","222","Tunisie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","39802.143071","X","Sources internationales s?res",""
"MK","Indicateurs macro","213","Turkm?nistan","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","38877.854701","X","Sources internationales s?res",""
"MK","Indicateurs macro","223","Turquie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","858988.5786","X","Sources internationales s?res",""
"MK","Indicateurs macro","227","Tuvalu","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","45.276606","X","Sources internationales s?res",""
"MK","Indicateurs macro","230","Ukraine","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","112190.328583","X","Sources internationales s?res",""
"MK","Indicateurs macro","234","Uruguay","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","64233.966863","X","Sources internationales s?res",""
"MK","Indicateurs macro","155","Vanuatu","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","880.046992","X","Sources internationales s?res",""
"MK","Indicateurs macro","236","Venezuela (R?publique bolivarienne du)","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","247930.222859","X","Sources internationales s?res",""
"MK","Indicateurs macro","237","Viet Nam","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","223779.866149","X","Sources internationales s?res",""
"MK","Indicateurs macro","249","Y?men","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","20739.380619","X","Sources internationales s?res",""
"MK","Indicateurs macro","251","Zambie","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","25868.161487","X","Sources internationales s?res",""
"MK","Indicateurs macro","181","Zimbabwe","6110","Valeur US $","22008","Produit Int?rieur Brut","2017","2017","millions","22040.902301","X","Sources internationales s?res",""
